katnum	katspec	codeloc	katdatum	katgesla	katleeft	katpet	katprgnt	katlact	katrectl	katoral	katserum	GLIMS	SARS2_ELISA	VNT_SARS2_VSV	katpcr_o	katct_o	katpcr_r	katct_r
35	cat	3	22-5-2020	1	2	0	0	0	1	1	1	GLIMS-220052507701	0	0	0		0	
36	cat	3	22-5-2020	1	2	0	0	0	1	1	1	GLIMS-220052507801	0	0	0		0	
37	cat	3	22-5-2020	2	1	0	0	0	1	1	1	GLIMS-220052507901	0	0	0		0	
38	cat	3	22-5-2020	2		0	0	0	1	1	1	GLIMS-220052508001	0	0	0		0	
51	cat	4	30-5-2020	2	2	0	0	1	1	1	1	GLIMS-220060200301	0	0	0		0	
52	cat	4	30-5-2020	2	2	0	0	1	1	1	1	GLIMS-220060200401	1	64	0		0	
53	cat	4	30-5-2020	2	3	0	0	1	1	1	1	GLIMS-220060200501	1	256	0		0	
54	cat	4	30-5-2020	2	2	0	0	0	1	1	1	GLIMS-220060200601	0	0	0		0	
55	cat	4	30-5-2020	1	2	0	0	0	1	1	1	GLIMS-220060200701	1	256	1	32	0	
56	cat	4	30-5-2020	2	1	0	0	0	1	1	1	GLIMS-220060200801	0	0	0		0	
57	cat	4	30-5-2020	2	2	0	0	1	1	1	1	GLIMS-220060200901	0	0	0		0	
58	cat	4	30-5-2020	2		0	1	0	1	1	1	GLIMS-220060201001	0	0	0		0	
59	cat	4	30-5-2020	2		0	1	0	1	1	1	GLIMS-220060201101	0	0	0		0	
60	cat	4	30-5-2020	1		0	0	0	1	1	1	GLIMS-220060201201	0	0	0		0	
61	cat	4	30-5-2020	2	2	0	1	0	1	1	1	GLIMS-220060201301	0	0	0		0	
62	cat	4	30-5-2020	1		0	0	0	1	1	1	GLIMS-220060201401	1	0	1	37	0	
63	cat	4	30-5-2020	1	1	0	0	0	1	1	1	GLIMS-220060201501	0	0	0		0	
70	cat	7	12-6-2020	1	2	0	0	0	1	1	1	GLIMS-220061504201	0	0	0		0	
71	cat	7	12-6-2020	2	1	1	0	1	1	1	1	GLIMS-220061504301	0	0	0		0	
72	cat	7	12-6-2020	2	1	0	0	1	1	1	1	GLIMS-220061504401	0	0	0		0	
73	cat	7	12-6-2020	2	1	0	0	0	1	1	1	GLIMS-220061504501	0	0	0		0	
74	cat	7	12-6-2020	2	1	0	0	1	1	1	1	GLIMS-220061504601	0	0	0		0	
75	cat	7	12-6-2020	2	1	0	0	0	1	1	1	GLIMS-220061504701	0	0	0		0	
91	cat	13	14-7-2020	2		0	1	0	1	1	1	GLIMS-220071501501	0	0	0		0	
92	cat	13	14-7-2020	2		0	0	0	1	1	1	GLIMS-220071501601	0	0	0		0	
93	cat	13	14-7-2020	2	2	0	0	0	1	1	1	GLIMS-220071501701	0	0	0		0	
99	cat	11	24-7-2020	1	4	1	0	0	1	1	1	GLIMS-220072708101	0	0	0		0	
100	cat	11	24-7-2020	1	1	1	0	0	1	1	1	GLIMS-220072708201	0	0	0		0	
103	cat	8	24-7-2020	1	1	0	0	0	1	1	1	GLIMS-220072708301	0	0	0		0	
104	cat	6	24-7-2020	2	1	0	0	1	1	1	1	GLIMS-220072708401	1	2048	0		0	
105	cat	13	24-7-2020	2	1	0	1	0	1	1	1	GLIMS-220072708501	0	0	0		0	
106	cat	11	24-7-2020	2	1	0	0	0	1	1	1	GLIMS-220072708601	0	0	0		0	
107	cat	11	24-7-2020	2	1	1	0	0	1	1	1	GLIMS-220072708701	0	0	0		0	
108	cat	13	24-7-2020	2	1	0	0	0	1	1	1	GLIMS-220072708801	0	0	0		0	
109	cat	11	24-7-2020	2	1	0	0	0	1	1	1	GLIMS-220072708901	0	0	0		0	
